Pathway identifier,Pathway name,#Entities found,#Entities total,#Interactors found,#Interactors total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Submitted entities hit interactor,Interacts with,Found reaction identifiers
R-HSA-877300,"Interferon gamma signaling",10,177,3,462,0.011021170610211706,7.2035996385722E-6,0.005856526506159199,2,23,0.0014787193005014788,9606,Homo sapiens,"HLA-DRB5;HLA-B;HLA-A;HLA-DQA1;HLA-DQB1","ENSG00000206503;P04439;ENSG00000179344;P01889;ENSG00000234745;P01920;ENSG00000198502;P01909;ENSG00000196735;Q30154",HLA-A;APOE;HLA-B,P61769;P02795,"R-HSA-1031716;R-HSA-1031713"
R-HSA-202430,"Translocation of ZAP-70 to Immunological synapse",3,30,0,14,0.0018679950186799503,1.888487264422034E-4,0.06104865833694961,4,4,2.5716857400025716E-4,9606,Homo sapiens,"HLA-DRB5;HLA-DQA1;HLA-DQB1","",,,"R-HSA-8855381;R-HSA-202168;R-HSA-202344;R-HSA-202174"
R-HSA-6802948,"Signaling by high-kinase activity BRAF mutants",3,44,0,0,0.0027397260273972603,2.494173705622771E-4,0.06104865833694961,4,6,3.8575286100038574E-4,9606,Homo sapiens,"FN1;ACTG1","",,,"R-HSA-6802912;R-HSA-6802911;R-HSA-6802910;R-HSA-6803227"
R-HSA-9656223,"Signaling by RAF1 mutants",3,49,0,0,0.0030510585305105853,3.4115523926769864E-4,0.06104865833694961,4,7,4.5004500450045E-4,9606,Homo sapiens,"FN1;ACTG1","",,,"R-HSA-9656211;R-HSA-9656209;R-HSA-9656215;R-HSA-9656214"
R-HSA-5674135,"MAP2K and MAPK activation",3,49,0,2,0.0030510585305105853,3.8317131149712136E-4,0.06104865833694961,8,12,7.715057220007715E-4,9606,Homo sapiens,"FN1;ACTG1","",,,"R-HSA-9657603;R-HSA-5672980;R-HSA-5672978;R-HSA-9657606;R-HSA-5672972;R-HSA-9657608;R-HSA-5672973;R-HSA-9657599"
R-HSA-389948,"Co-inhibition by PD-1",3,33,0,24,0.002054794520547945,4.5221228397740454E-4,0.06104865833694961,1,5,3.2146071750032145E-4,9606,Homo sapiens,"HLA-DRB5;HLA-DQA1;HLA-DQB1","",,,"R-HSA-389758"
R-HSA-1236977,"Endosomal/Vacuolar pathway",2,15,0,0,9.339975093399751E-4,7.959166125287576E-4,0.06676833774923341,3,4,2.5716857400025716E-4,9606,Homo sapiens,"HLA-B;HLA-A","",,,"R-HSA-1236964;R-HSA-1236954;R-HSA-1236943"
R-HSA-202427,"Phosphorylation of CD3 and TCR zeta chains",3,33,0,40,0.002054794520547945,9.164589892810548E-4,0.06676833774923341,5,7,4.5004500450045E-4,9606,Homo sapiens,"HLA-DRB5;HLA-DQA1;HLA-DQB1","",,,"R-HSA-202291;R-HSA-202214;R-HSA-202165;R-HSA-202233;R-HSA-8852200"
R-HSA-6802952,"Signaling by BRAF and RAF1 fusions",3,73,0,0,0.004545454545454545,0.0010769086733747324,0.06676833774923341,4,5,3.2146071750032145E-4,9606,Homo sapiens,"FN1;ACTG1","",,,"R-HSA-6802935;R-HSA-6802934;R-HSA-6802933;R-HSA-6802932"
R-HSA-9649948,"Signaling downstream of RAS mutants",3,54,0,19,0.0033623910336239102,0.0010769086733747324,0.06676833774923341,4,7,4.5004500450045E-4,9606,Homo sapiens,"FN1;ACTG1","",,,"R-HSA-6803233;R-HSA-6802926;R-HSA-6802925;R-HSA-6802922"
R-HSA-6802946,"Signaling by moderate kinase activity BRAF mutants",3,54,0,19,0.0033623910336239102,0.0010769086733747324,0.06676833774923341,4,7,4.5004500450045E-4,9606,Homo sapiens,"FN1;ACTG1","",,,"R-HSA-6802919;R-HSA-6802914;R-HSA-6803230;R-HSA-6802921"
R-HSA-6802955,"Paradoxical activation of RAF signaling by kinase inactive BRAF",3,54,0,19,0.0033623910336239102,0.0010769086733747324,0.06676833774923341,4,7,4.5004500450045E-4,9606,Homo sapiens,"FN1;ACTG1","",,,"R-HSA-6802918;R-HSA-6803234;R-HSA-6802943;R-HSA-6802942"
R-HSA-6802949,"Signaling by RAS mutants",3,54,0,19,0.0033623910336239102,0.0010769086733747324,0.06676833774923341,4,9,5.786292915005787E-4,9606,Homo sapiens,"FN1;ACTG1","",,,"R-HSA-6803233;R-HSA-6802926;R-HSA-6802925;R-HSA-6802922"
R-HSA-9734767,"Developmental Cell Lineages",5,249,0,45,0.015504358655043586,0.0012194027835851218,0.06772081099356231,4,17,0.001092966439501093,9606,Homo sapiens,"CD74;FN1;VIM","",,,"R-HSA-9925879;R-HSA-9925892;R-HSA-9910607;R-HSA-9853402"
