,X,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
1,C1QC,0,1.68259,0.931,0.988,0
2,SH3BGRL3,0,1.814025,1,0.994,0
3,TAGLN2,0,1.841928,0.997,0.962,0
4,FN1,0,1.918998,0.873,0.799,0
5,MTRNR2L12,0,2.792224,0.851,0.205,0
6,CD74,0,1.672287,0.999,0.999,0
7,HLA-A,0,2.033028,1,0.996,0
8,HLA-B,0,1.913625,1,0.998,0
9,HLA-DRB5,0,1.668431,0.96,0.995,0
10,HLA-DQA1,0,2.503217,0.947,0.943,0
11,HLA-DQB1,0,2.268182,0.966,0.967,0
12,ARPC1B,0,1.648351,0.997,0.986,0
13,VIM,0,1.850037,1,0.996,0
14,CTSD,0,2.072528,0.978,0.993,0
15,FTH1,0,1.666364,1,1,0
16,UCP2,0,1.723651,0.86,0.252,0
17,GAPDH,0,1.907241,1,0.988,0
18,PCBP2,0,2.087372,0.955,0.408,0
19,RPL41,0,2.542585,1,0.998,0
20,CRIP1,0,1.745086,1,0.996,0
21,IL32,0,2.120218,0.304,0.027,0
22,CD68,0,1.787672,0.932,0.991,0
23,CCL5,0,2.28723,0.268,0.024,0
24,CCL18,0,3.787514,0.882,0.207,0
25,ACTG1,0,1.801737,0.999,0.99,0
26,CFD,0,2.484758,0.856,0.812,0
27,PLD3,0,1.698149,0.845,0.554,0
28,APOE,0,2.054375,0.878,0.872,0
29,HMOX1,0,1.843022,0.747,0.262,0
30,CD99,0,1.867185,0.898,0.314,0
